"","postgresID","SessionDateTime","final_role","Email","Organization","Attended","DisciplinesRepresented","OrgType","city","state","latitude","longitude","community_area"
"187","58","05/20/2020 - 9AM","Program Manager","6e01a864","94c2f20b","Y",NA,"Partner","Chicago","IL",41.9024478,-87.6739089,"Loop"
"188","58","4/16/2020 - 9AM","Program Manager","20d50dbd","578cd0d7","N",NA,"Partner","Chicago","IL",41.9349077,-87.7084096,"Loop"
"189","6","4/22/2020 - 2PM","Teaching Artist","5b909a5f","b84ab98e","Y","Other","Partner","Chicago","IL",41.935631,-87.784152,"Loop"
"190","6","4/23/2020 - 10AM","Teaching Artist","602e918f","b84ab98e","Y",NA,"Partner","Chicago","IL",41.9326996,-87.7398779,"Loop"
"191","6","5/04/2020 - 2PM","Teaching Artist","dd6078fb","b84ab98e","N",NA,"Partner","Chicago","IL",41.8301051,-87.6189808,"Loop"
"192","766","4/16/2020 - 9AM","Program Manager","26ff71e9","415464b4","Y","Multi-disciplinary","Partner","Chicago","IL",41.8676707,-87.681079,"Washington Park"
"193","768","4/16/2020 - 12PM","Teaching Artist","216eb37f","beef5092","N",NA,"Partner","Chicago","IL",41.8013958,-87.6123864,"Grand Boulevard"
"194","768","5/07/2020 - 9AM","Teaching Artist","216eb37f","beef5092","Y",NA,"Partner","Chicago","IL",41.8023161,-87.6255022,"Grand Boulevard"
"195","768","4/27/2020 - 1PM","Teaching Artist","216eb37f","beef5092","N",NA,"Partner","Chicago","IL",41.77483,-87.6538,"Grand Boulevard"
"196","768","4/16/2020 - 12PM","Executive Director","09115a50","beef5092","Y","Dance","Partner","Chicago","IL",41.95818,-87.7026,"Grand Boulevard"
"197","768","5/04/2020 - 2PM","Teaching Artist","216eb37f","beef5092","N",NA,"Partner","Chicago","IL",41.78446,-87.6479,"Grand Boulevard"
"198","768","4/23/2020 - 10AM","Executive Director","09115a50","beef5092","Y",NA,"Partner","Chicago","IL",41.9711,-87.70942,"Grand Boulevard"
"199","768","4/23/2020 - 10AM","Teaching Artist","216eb37f","beef5092","Y",NA,"Partner","Chicago","IL",41.86787,-87.76989,"Grand Boulevard"
"200","768","4/16/2020 - 9AM","Teaching Artist","216eb37f","beef5092","Y","Dance","Partner","Chicago","IL",41.97204,-87.75682,"Grand Boulevard"
"201","768","5/06/2020 - 3PM","Teaching Artist","216eb37f","beef5092","Y",NA,"Partner","Chicago","IL",41.88511,-87.70489,"Grand Boulevard"
"202","768","4/30/2020 - 9AM","Teaching Artist","216eb37f","beef5092","Y",NA,"Partner","Chicago","IL",41.9295783,-87.6458976,"Grand Boulevard"
"203","768","4/22/2020 - 2PM","Teaching Artist","216eb37f","beef5092","N",NA,"Partner","Chicago","IL",41.71052,-87.61699,"Grand Boulevard"
"204","768","4/20/2020 - 2PM","Teaching Artist","216eb37f","beef5092","Y",NA,"Partner","Chicago","IL",41.95095,-87.66501,"Grand Boulevard"
"205","837","05/20/2020 - 9AM","Executive Director","2c69f4fb","fcb509e1","Y",NA,"Partner","Chicago","IL",41.75378,-87.70899,"Loop"
"206","837","05/06/2020 - 9AM","Executive Director","2c69f4fb","a2068d2c","Y",NA,"Partner","Chicago","IL",41.68637,-87.63341,"Loop"
"207","84","05/15/2020 - 11AM","Community Member","814e2268","68886e76","Y",NA,"Partner","Chicago","IL",41.94967,-87.79893,"Loop"
"208","84","05/06/2020 - 9AM","Program Manager","52e7ffdb","68886e76","Y",NA,"Partner","Chicago","IL",41.88263,-87.67058,"Loop"
"209","84","5/07/2020 - 9AM","Program Manager","1f3a50ac","68886e76","Y",NA,"Partner","Chicago","IL",41.77159,-87.62141,"Loop"
"210","84","05/15/2020 - 11AM","Program Manager","7e61369e","68886e76","Y",NA,"Partner","Chicago","IL",41.76114,-87.57607,"Loop"
"211","851","05/06/2020 - 9AM","Executive Director","2af7d2c8","dd8b80b2","Y",NA,"Partner","Chicago","IL",41.97532,-87.69688,"West Englewood"
"212","86","4/16/2020 - 9AM","Executive Director","87f6e443","6ad216ea","Y","Dance","Partner","Chicago","IL",41.79689,-87.61614,"West Ridge"
"213","86","4/20/2020 - 2PM","Program Manager","6b88cdc3","6ad216ea","Y",NA,"Partner","Chicago","IL",41.84554,-87.71514,"West Ridge"
"214","86","5/04/2020 - 2PM","Program Manager","2f6850d0","6ad216ea","Y",NA,"Partner","Chicago","IL",41.72882,-87.60766,"West Ridge"
"215","86","5/04/2020 - 2PM","Teaching Artist","d363d3a0","6ad216ea","Y",NA,"Partner","Chicago","IL",41.91213,-87.66868,"West Ridge"
"216","86","5/04/2020 - 2PM","Program Manager","6b88cdc3","6ad216ea","Y",NA,"Partner","Chicago","IL",41.82886,-87.6927,"West Ridge"
"217","86","4/20/2020 - 2PM","Program Manager","2f6850d0","6ad216ea","Y",NA,"Partner","Chicago","IL",41.89766,-87.7658,"West Ridge"
"218","86","4/27/2020 - 1PM","Program Manager","5dc9a503","6ad216ea","Y",NA,"Partner","Chicago","IL",41.79482,-87.79102,"West Ridge"
"219","893","4/16/2020 - 12PM","Executive Director","111ff450","e5b57fe5","N",NA,"Partner","Chicago","IL",41.73928,-87.58153,"Logan Square"
"220","893","4/22/2020 - 2PM","Executive Director","111ff450","849c23c6","Y",NA,"Partner","Chicago","IL",41.84295,-87.7175,"Logan Square"
"221","895","4/16/2020 - 9AM","Executive Director","c7ee63a7","31ec0a6f","N",NA,"Partner","Chicago","IL",41.90407,-87.71822,"Near West Side"
"222","895","4/30/2020 - 9AM","Executive Director","c7ee63a7","31ec0a6f","N",NA,"Partner","Chicago","IL",41.94793,-87.8299,"Near West Side"
"223","895","4/16/2020 - 12PM","Executive Director","c7ee63a7","31ec0a6f","N",NA,"Partner","Chicago","IL",41.65741,-87.60747,"Near West Side"
"224","903","4/16/2020 - 12PM","Executive Director","4721ba00","32ad7735","Y",NA,"Partner","Chicago","IL",41.68752,-87.70396,"Loop"
"225","929","4/16/2020 - 12PM","Program Manager","70b286b8","5aa52d9c","Y","Music","Partner","Chicago","IL",41.9532,-87.65076,"Lake View"
"226","929","4/16/2020 - 12PM","Program Manager","5e68ca18","5aa52d9c","Y","Music","Partner","Chicago","IL",41.97468,-87.68325,"Lake View"
"227","938","4/20/2020 - 2PM","Program Manager","5f25d863","ad8e655b","N",NA,"Partner","Chicago","IL",41.91817,-87.69428,"Edgewater"
"228","938","4/22/2020 - 2PM","Program Manager","5f25d863","ad8e655b","Y","Theatre;Literary Arts","Partner","Chicago","IL",41.70929,-87.56654,"Edgewater"
"229","938","4/16/2020 - 9AM","Program Manager","5f25d863","ad8e655b","N",NA,"Partner","Chicago","IL",41.79311,-87.68793,"Edgewater"
"230","943","5/07/2020 - 9AM","Program Manager","d510ccf5","b99fae1a","Y",NA,"Partner","Chicago","IL",41.8662,-87.69513,"Lake View"
"231","943","05/06/2020 - 9AM","Executive Director","34f1193a","b99fae1a","Y",NA,"Partner","Chicago","IL",41.917759,-87.7822516,"Lake View"
"232","943","05/20/2020 - 9AM","Executive Director","34f1193a","b99fae1a","Y",NA,"Partner","Chicago","IL",41.8937679,-87.658807,"Lake View"
"233","972","4/16/2020 - 9AM","Executive Director","4d74a7c4","0be83cdb","N",NA,"Partner","Chicago","IL",41.65469,-87.54407,"Morgan Park"
